ID;booking;occupation_id_desc;had_a_flight_in_last_cruise;booked_country_aggregation;AGE;LOYALTY_TOTAL_SCORE;NUMBER_OF_CRUISES;rfm_segment;is_loyalty;pcc_flag;flag_app;opener_segment;privacy_channel_email_date;privacy_channel_phone_date;privacy_channel_post_date;privacy_send_material_date;loyalty_subscribe_date;days_after_cruise_end;BKG_Channel;last_cruise_program_desc;last_cruise_duration;last_cruise_bkg_anticipation;last_paid_cabin_meta_cat_code;last_nps_segment;last_pax_type;flag_bkd_cxl_last3y;flag_opt_cxl_last3y;flag_bkd_cxl_last_month;flag_opt_cxl_last_month;num_cruises_last3y;total_gross_cru_rev_eur_mean;total_gross_obr_rev_eur_mean;sent_last_month;open_last_month;click_last_month;source_desc
1;;;;FRANCE;48;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
2;;;False;ARGENTINA;76;5842;7;0 HIGH;True;0;0.0;;;;;01/06/2019;2023-06-05T00:00:00.000Z;7.0;Trade;Mediterranean - 7 Days;7.0;146.0;I;;MYCRUISE;;;;;6.0;1197.578263;108.8333333;;;;
3;;;;ITALY;42;0;0;PROSPECT;True;0;0.0;OP_HIGH_CL_LOW;24/03/2021;24/03/2021;24/03/2021;24/03/2021;2019-08-18T00:00:00.000Z;;;;;0.0;;;;;;;;;;;2.0;2.0;0.0;WEB
4;;;False;GERMANY;33;0;1;LOST;False;0;0.0;;06/02/2015;06/02/2015;06/02/2015;06/02/2015;;2602.0;OTA;Emirates 7 Days;7.0;128.0;V;;VALUE;;;;;;;;;;;
5;;;;ITALY;44;0;0;PROSPECT;True;0;0.0;OLD_OPENER;28/05/2021;28/05/2021;28/05/2021;28/05/2021;2021-05-28T16:13:59.000Z;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;1.0;0.0;0.0;WEB
6;;;;BRAZIL;22;0;0;PROSPECT;True;0;0.0;NEVER_OPENER;16/11/2019;16/11/2019;16/11/2019;16/11/2019;2019-11-16T00:00:00.000Z;;;;;0.0;;;;;;;;;;;0.0;0.0;0.0;COSTA-APP
7;;;False;HOLLAND;61;1;2;LOST;True;0;0.0;OP_LOW_CL_LOW;18/12/2018;18/12/2018;18/12/2018;18/12/2018;2016-04-23T00:00:00.000Z;1116.0;OTA;South America;14.0;94.0;I;;GRP;;;;;;;;4.0;1.0;0.0;
8;;;True;SPAIN;34;0;1;LOST;False;0;0.0;;;;;;;956.0;Trade;Northern Europe - 7 Days;7.0;249.0;O;;COSTA;;;;;;;;;;;
9;;;False;ITALY;53;0;1;0 LOW;False;0;1.0;;22/04/2023;22/04/2023;22/04/2023;22/04/2023;;54.0;Trade;Mediterranean - 3/6 Days;3.0;14.0;V;;GRP;;;;;1.0;310.0;120.0;;;;
10;;;True;FRANCE;37;0;1;LOST;False;0;1.0;;;;;;;970.0;Trade;Mediterranean - 7 Days;7.0;168.0;O;;ALLINCL;;;;;;;;;;;
11;;;;SPAIN;51;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
12;;;;SPAIN;20;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
13;;;False;FRANCE;38;0;1;LOST;False;0;0.0;OP_HIGH_CL_LOW;;;;01/08/2015;;2427.0;Trade;Mediterranean - 7 Days;7.0;22.0;V;;VALUE;;;;;;;;2.0;2.0;0.0;
14;;;True;GERMANY;79;0;1;LOST;False;0;0.0;;;;;03/02/2014;;2970.0;Call Center;Emirates 7 Days;7.0;101.0;O;;VALUE;;;;;;;;;;;
15;;;;ITALY;31;0;0;PROSPECT;False;0;0.0;OP_HIGH_CL_HIGH;22/06/2023;22/06/2023;22/06/2023;22/06/2023;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;0.0;0.0;0.0;RESERVATION SYSTEM
16;;Labourer;False;ITALY;44;1;1;LOST;True;1;0.0;OP_LOW_CL_LOW;06/05/2017;06/05/2017;06/05/2017;06/05/2017;2007-06-08T00:00:00.000Z;1783.0;Web;Mediterranean - 7 Days;7.0;83.0;O;Detractor;CCORAL;0.0;1.0;0.0;0.0;;;;8.0;1.0;0.0;
17;;;;BRAZIL;35;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
18;;;False;ITALY;53;2028;1;0 HIGH;True;0;0.0;OP_HIGH_CL_LOW;25/02/2022;25/02/2022;25/02/2022;25/02/2022;2022-02-25T17:05:50.000Z;100.0;Trade;Mediterranean - 7 Days;7.0;42.0;O;Promoter;GEOALLIN;;;;;1.0;520.0;559.0;8.0;6.0;0.0;
19;;;False;ITALY;44;0;3;LOST;False;0;0.0;OLD_OPENER;17/09/2022;17/09/2022;17/09/2022;17/09/2022;;60.0;Other Direct;Mediterranean - 3/6 Days;4.0;8.0;I;;DIP;;;;;;;;3.0;0.0;0.0;
20;;;False;ITALY;72;0;1;0 HIGH;False;0;0.0;;19/06/2022;19/06/2022;19/06/2022;19/06/2022;;26.0;Call Center;Mediterranean - 7 Days;7.0;41.0;V;;MYSILVER;;;;;1.0;992.7;258.98;;;;
21;;;;ITALY;51;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
22;;Pensioner;False;BRAZIL;78;1;1;LOST;True;0;0.0;;13/12/2014;13/12/2014;13/12/2014;13/12/2014;2014-03-17T13:10:10.000Z;2661.0;Trade;South America;3.0;271.0;V;;AQUA;;;;;;;;;;;
23;;;False;ARGENTINA;51;4296;4;LOST;True;0;1.0;OP_HIGH_CL_LOW;29/02/2020;29/02/2020;29/02/2020;29/02/2020;2016-10-24T00:00:00.000Z;757.0;Call Center;South America;4.0;37.0;I;Promoter;CAMBER;0.0;4.0;0.0;0.0;;;;2.0;1.0;0.0;
24;;;False;FRANCE;26;0;0;PROSPECT;False;0;0.0;;;;;;;;Trade;Mediterranean - 8/12 Days;11.0;310.0;V;;ALLINCL;1.0;0.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
25;;;;ARGENTINA;55;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
26;;Other;False;ITALY;81;0;1;LOST;False;0;0.0;;;;;01/06/2014;;2852.0;;Mediterranean - 7 Days;7.0;46.0;O;;CORAL;;;;;;;;;;;
27;;;;FRANCE;64;0;0;PROSPECT;True;0;0.0;NEVER_OPENER;;;;04/04/2019;2016-04-18T00:00:00.000Z;;;;;0.0;;;;;;;;;;;0.0;0.0;0.0;EXT-VENDOR
28;;;False;GERMANY;47;2618;1;0 LOW;True;1;1.0;OP_HIGH_CL_LOW;29/10/2022;29/10/2022;29/10/2022;29/10/2022;2022-10-29T11:10:42.000Z;72.0;Web;Mediterranean - 7 Days;7.0;15.0;V;;MYBLUE;;;;;1.0;625.0;343.64;2.0;2.0;0.0;
29;;;;ITALY;30;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
30;;Pensioner;False;ITALY;79;1;2;LOST;True;0;0.0;OLD_OPENER;11/03/2015;06/03/2015;06/03/2015;25/02/2018;2015-04-29T00:00:00.000Z;1487.0;Trade;South America;7.0;33.0;V;Detractor;GRP;;;;;;;;5.0;0.0;0.0;
31;;;False;NORTH AM.;57;0;1;0 HIGH;False;0;0.0;;;;;;;11.0;Trade;Emirates 7 Days;7.0;23.0;S;;TOPMYALL;;;;;1.0;1623.724973;572.42;;;;
32;;;True;GERMANY;72;0;1;0 HIGH;False;0;0.0;;07/03/2023;07/03/2023;07/03/2023;07/03/2023;;20.0;OTA;Mediterranean - 7 Days;7.0;249.0;V;;MYCRUISE;;;;;1.0;715.0;428.0;;;;
33;;;False;EMERGING CENTRAL EUROPE;38;0;1;LOST;False;0;0.0;;20/10/2016;20/10/2016;20/10/2016;20/10/2016;;1981.0;Trade;Mediterranean - 3/6 Days;5.0;14.0;V;;GRP;;;;;;;;;;;
34;;;False;ITALY;44;0;1;LOST;False;0;1.0;;26/07/2019;26/07/2019;26/07/2019;26/07/2019;;971.0;Trade;Mediterranean - 7 Days;7.0;24.0;V;;WCOSTA;;;;;;;;;;;
35;;;False;ITALY;25;0;1;LOST;False;0;0.0;NEVER_OPENER;14/11/2018;14/11/2018;14/11/2018;14/11/2018;;1231.0;Other Direct;Mediterranean - 3/6 Days;4.0;93.0;V;Promoter;GRP;;;;;;;;0.0;0.0;0.0;
36;;;False;ITALY;33;1;1;LOST;True;1;0.0;;25/02/2016;25/02/2016;25/02/2016;25/02/2016;2015-11-04T16:07:26.000Z;2176.0;Call Center;Mediterranean - 7 Days;7.0;155.0;I;;AQUA;;;;;;;;;;;
37;;;False;ARGENTINA;56;0;1;0 LOW;False;0;0.0;;;;;;;23.0;OTA;Caribbean 7 Days;7.0;104.0;I;;MYCRUISE;;;;;1.0;236.3719632;77.0;;;;
38;;;;ITALY;43;0;0;PROSPECT;True;0;0.0;NEVER_OPENER;05/12/2022;05/12/2022;05/12/2022;05/12/2022;2022-11-16T16:18:56.000Z;;;;;0.0;;;;;;;;;;;1.0;0.0;0.0;WEB
39;;;;ITALY;44;0;0;PROSPECT;True;0;0.0;OLD_OPENER;27/07/2018;27/07/2018;27/07/2018;27/07/2018;2015-11-06T00:00:00.000Z;;;;;0.0;;;;;;;;;;;1.0;0.0;0.0;EXT-VENDOR
40;;;True;ITALY;61;2588;2;0 HIGH;True;0;1.0;UNDELIVERABLE;02/03/2022;02/03/2022;02/03/2022;02/03/2022;2022-03-02T18:21:46.000Z;122.0;Trade;Emirates 7 Days;7.0;141.0;I;;WELALLIN;;;;;1.0;364.77;554.47;;;;
41;;;True;GERMANY;36;1;1;LOST;True;0;0.0;NEVER_OPENER;18/01/2015;18/01/2015;18/01/2015;18/01/2015;2013-06-10T10:12:54.000Z;2614.0;Trade;Emirates 7 Days;7.0;44.0;O;;VALUE;;;;;;;;0.0;0.0;0.0;
42;;;False;ITALY;54;0;1;LOST;False;0;0.0;;;;;;;1306.0;Trade;Mediterranean - 7 Days;7.0;144.0;V;;ECOSTA;;;;;;;;;;;
43;;;False;FRANCE OVERSEAS;70;1;1;LOST;True;0;0.0;;;;;;2018-02-17T00:00:00.000Z;1196.0;Trade;Caribbean 7 Days;7.0;299.0;I;;CAMBER;;;;;;;;;;;
44;;;False;BRAZIL;39;0;1;0 LOW;False;0;0.0;;02/12/2021;02/12/2021;02/12/2021;02/12/2021;;216.0;Trade;South America;3.0;86.0;O;;ALLINCL;2.0;3.0;0.0;0.0;1.0;305.3460611;75.4601262;;;;
45;;;False;ITALY;52;1;1;LOST;True;0;0.0;UNDELIVERABLE;04/03/2016;04/03/2016;04/03/2016;08/03/2021;2016-03-04T00:00:00.000Z;2293.0;Trade;Mediterranean - 7 Days;7.0;15.0;V;;IND;;;;;;;;;;;
46;;;False;ITALY;30;1;1;LOST;True;1;0.0;OLD_OPENER;;;;28/04/2015;2015-05-01T22:13:01.000Z;2526.0;Call Center;Mediterranean - 3/6 Days;5.0;95.0;I;;AQUA;;;;;;;;5.0;0.0;0.0;
47;;;;BRAZIL;46;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;;;;
48;;;False;GERMANY;18;0;1;NO SEGMENT;False;0;0.0;;;;;;;1606.0;Trade;Mediterranean - 7 Days;7.0;292.0;V;;GRP;;;;;;;;;;;
49;;;False;FRANCE;29;0;1;LOST;False;0;0.0;;21/05/2016;21/05/2016;21/05/2016;21/05/2016;;2133.0;Trade;Mediterranean - 7 Days;7.0;10.0;I;;PIND;;;;;;;;;;;
50;;;;BRAZIL;46;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
51;;;False;ITALY;46;3830;1;0 HIGH;True;1;1.0;OLD_OPENER;02/08/2022;02/08/2022;02/08/2022;02/08/2022;2022-05-18T10:25:51.000Z;294.0;Web;Mediterranean - 7 Days;7.0;74.0;V;;MYEXPLOR;;;;;1.0;1306.6;442.25;1.0;0.0;0.0;
52;;;False;SCANDINAVIA (DK);78;1;1;LOST;True;0;1.0;OP_LOW_CL_LOW;14/01/2019;14/01/2019;14/01/2019;14/01/2019;2019-01-14T00:00:00.000Z;1103.0;OTA;World Cruise;112.0;242.0;I;;IND;;;;;;;;3.0;0.0;0.0;
53;;;False;BELGIUM;76;1;1;LOST;True;0;0.0;NEVER_OPENER;22/08/2018;22/08/2018;22/08/2018;22/08/2018;2006-11-20T12:00:00.000Z;1305.0;Trade;Northern Europe - 10/14 Days;11.0;174.0;V;;CAQUA;;;;;;;;3.0;0.0;0.0;
54;;;False;BRAZIL;38;0;1;LOST;False;0;0.0;OLD_OPENER;27/09/2022;27/09/2022;27/09/2022;27/09/2022;;2647.0;Web;South America;8.0;94.0;O;;WEBIND;;;;;;;;;;;
